generation,evaluations,best_fitness,mean_fitness,timestamp
1,20,0.6988092794401172,0.1969427000785823,2025-09-24T10:32:34
2,40,2.9914732891567026,0.6355736796535489,2025-09-24T10:32:40
3,60,2.9914732891567026,0.23669533129473025,2025-09-24T10:32:47
4,80,2.9914732891567026,0.4353758357029963,2025-09-24T10:32:54
5,100,2.9914732891567026,0.4207910803169481,2025-09-24T10:33:00
6,120,2.9914732891567026,0.3540931122660387,2025-09-24T10:33:07
7,140,2.9914732891567026,0.33811809807328874,2025-09-24T10:33:13
8,160,3.835753066139386,0.9317218989884204,2025-09-24T10:33:19
9,180,5.099371057840554,0.8179964882747788,2025-09-24T10:33:25
10,200,5.099371057840554,0.5154969349530292,2025-09-24T10:33:32
11,220,5.099371057840554,0.5732906539891305,2025-09-24T10:33:39
12,240,5.099371057840554,0.44091042405990405,2025-09-24T10:33:45
13,260,5.099371057840554,0.3557512061894605,2025-09-24T10:33:52
14,280,5.099371057840554,0.5562723103135987,2025-09-24T10:33:58
15,300,5.099371057840554,0.49565538715902485,2025-09-24T10:34:04
16,320,5.099371057840554,0.5574258207362986,2025-09-24T10:34:10
17,340,5.099371057840554,0.35993984045888766,2025-09-24T10:34:16
18,360,6.183150462130551,0.7317498815152326,2025-09-24T10:34:23
19,380,6.183150462130551,0.4099758017438841,2025-09-24T10:34:29
20,400,6.183150462130551,0.5078194863659808,2025-09-24T10:34:36
21,420,6.183150462130551,0.5775648364398569,2025-09-24T10:34:44
22,440,6.183150462130551,0.716479357414411,2025-09-24T10:34:51
23,460,6.183150462130551,0.9855904604349233,2025-09-24T10:34:57
24,480,6.183150462130551,1.096860845029747,2025-09-24T10:35:04
25,500,6.183150462130551,1.3314643853383878,2025-09-24T10:35:10
26,520,6.183150462130551,1.409003791028374,2025-09-24T10:35:16
27,540,6.183150462130551,1.6869130115012818,2025-09-24T10:35:23
28,560,6.183150462130551,1.7156997078800302,2025-09-24T10:35:30
29,580,6.183150462130551,1.3880337437162202,2025-09-24T10:35:38
30,600,6.896041100014036,1.2523838731688322,2025-09-24T10:35:45
31,620,6.896041100014036,1.2665549255131225,2025-09-24T10:35:51
32,640,6.896041100014036,1.3415166194382395,2025-09-24T10:35:58
33,660,6.896041100014036,1.5442238464078084,2025-09-24T10:36:04
34,680,6.896041100014036,1.4950100756178333,2025-09-24T10:36:10
35,700,6.896041100014036,1.7053968272772309,2025-09-24T10:36:16
36,720,6.896041100014036,1.4132043288479912,2025-09-24T10:36:22
37,740,6.896041100014036,2.0655816190944782,2025-09-24T10:36:28
38,760,6.896041100014036,1.7930325386989754,2025-09-24T10:36:34
39,780,6.896041100014036,1.5238216180256168,2025-09-24T10:36:41
40,800,6.896041100014036,1.2573751922819505,2025-09-24T10:36:47
