env,algo,n,mean,sd,ci_lower,ci_upper,seeds
SimpleFlat,cmaes,3,8.93535569569771,2.270765273413832,6.365742889628727,11.504968501766694,"42,43,44"
SimpleFlat,baseline,3,0.1411280514317457,0.12932700883736067,-0.005219235965103319,0.2874753388285947,"42,43,44"
Rugged,cmaes,3,1.9185418954560334,0.14188799096241944,1.7579805186932544,2.0791032722188123,"42,43,44"
Rugged,baseline,3,0.16405646836706766,0.010355200133055577,0.15233845630177678,0.17577448043235855,"42,43,44"
