generation,evaluations,best_fitness,mean_fitness,timestamp
1,20,0.24460370564008396,0.09481172441821131,2025-09-24T11:00:40
2,40,0.3027734969108342,0.12333252394169221,2025-09-24T11:00:54
3,60,0.3027734969108342,0.1213197106850005,2025-09-24T11:01:07
4,80,0.3109819114282931,0.1065012888744988,2025-09-24T11:01:21
5,100,0.3109819114282931,0.13064602052272065,2025-09-24T11:01:36
6,120,0.4395316769461224,0.1343111845517495,2025-09-24T11:01:50
7,140,0.6145489618395471,0.15294063250079204,2025-09-24T11:02:06
8,160,0.6145489618395471,0.198843813573014,2025-09-24T11:02:21
9,180,0.6145489618395471,0.18227452565352348,2025-09-24T11:02:34
10,200,1.0022439417438012,0.21785763700421867,2025-09-24T11:02:47
11,220,1.0022439417438012,0.28504687975910464,2025-09-24T11:03:00
12,240,1.0022439417438012,0.216473747630116,2025-09-24T11:03:12
13,260,1.0022439417438012,0.20839581200134538,2025-09-24T11:03:25
14,280,1.0156883970401716,0.2739200280536096,2025-09-24T11:03:38
15,300,1.0156883970401716,0.27056276145568836,2025-09-24T11:03:51
16,320,1.0156883970401716,0.2033962263933744,2025-09-24T11:04:04
17,340,1.505507368613779,0.42433711392704276,2025-09-24T11:04:17
18,360,1.505507368613779,0.20153130241095885,2025-09-24T11:04:29
19,380,1.505507368613779,0.29771023512111966,2025-09-24T11:04:43
20,400,1.505507368613779,0.33944578294604455,2025-09-24T11:04:55
21,420,1.505507368613779,0.2510297047989619,2025-09-24T11:05:08
22,440,1.505507368613779,0.26115202586226355,2025-09-24T11:05:20
23,460,1.505507368613779,0.27367402614821457,2025-09-24T11:05:32
24,480,2.0813464702908284,0.40027650154278466,2025-09-24T11:05:45
25,500,2.0813464702908284,0.2551577413496987,2025-09-24T11:05:57
26,520,2.0813464702908284,0.2607958163741302,2025-09-24T11:06:10
27,540,2.0813464702908284,0.34949232243308215,2025-09-24T11:06:22
28,560,2.0813464702908284,0.27868005789907935,2025-09-24T11:06:35
29,580,2.0813464702908284,0.271508075336222,2025-09-24T11:06:47
30,600,2.0813464702908284,0.24151146327029466,2025-09-24T11:07:00
31,620,2.0813464702908284,0.20474055661746893,2025-09-24T11:07:12
32,640,2.0813464702908284,0.2927103494454112,2025-09-24T11:07:24
33,660,2.0813464702908284,0.29190067856055724,2025-09-24T11:07:37
34,680,2.0813464702908284,0.3909471453436932,2025-09-24T11:07:50
35,700,2.0813464702908284,0.4027835867868519,2025-09-24T11:08:26
36,720,2.0813464702908284,0.4285378703084318,2025-09-24T11:08:40
37,740,2.0813464702908284,0.56870859579748,2025-09-24T11:08:52
38,760,2.0813464702908284,0.3594226096144598,2025-09-24T11:09:05
39,780,2.0813464702908284,0.4526647913895435,2025-09-24T11:10:11
40,800,2.0813464702908284,0.5500971286022837,2025-09-24T11:10:28
