generation,evaluations,best_fitness,mean_fitness,timestamp
1,20,0.26351054149652475,0.12290210632431467,2025-09-24T11:10:44
2,40,0.28680431239141235,0.11738930606525458,2025-09-24T11:10:58
3,60,0.3953022227950507,0.17216672019426293,2025-09-24T11:11:11
4,80,0.5754653163646555,0.22327932707012582,2025-09-24T11:11:23
5,100,0.6021718007157647,0.20028150986151588,2025-09-24T11:11:36
6,120,0.6021718007157647,0.2350325634939058,2025-09-24T11:11:48
7,140,1.026086614570616,0.305441463143745,2025-09-24T11:12:01
8,160,1.026086614570616,0.2714403255280816,2025-09-24T11:12:13
9,180,1.026086614570616,0.292692790005249,2025-09-24T11:12:26
10,200,1.2093398648044782,0.2953770026492576,2025-09-24T11:12:38
11,220,1.2093398648044782,0.18982784918432774,2025-09-24T11:12:51
12,240,1.2093398648044782,0.20456540153654226,2025-09-24T11:13:04
13,260,1.2093398648044782,0.27031757779553545,2025-09-24T11:13:16
14,280,1.2093398648044782,0.36588891227927484,2025-09-24T11:13:28
15,300,1.2093398648044782,0.1996558842808251,2025-09-24T11:13:40
16,320,1.2093398648044782,0.29554439623278306,2025-09-24T11:13:53
17,340,1.2093398648044782,0.24275393172304108,2025-09-24T11:14:09
18,360,1.2093398648044782,0.1794182877033866,2025-09-24T11:14:22
19,380,1.2093398648044782,0.23432995251801772,2025-09-24T11:14:34
20,400,1.2093398648044782,0.2686747792552432,2025-09-24T11:14:47
21,420,1.2093398648044782,0.3029720415357192,2025-09-24T11:15:00
22,440,1.2093398648044782,0.3228486142754116,2025-09-24T11:15:13
23,460,1.2093398648044782,0.3002659940059055,2025-09-24T11:15:26
24,480,1.2093398648044782,0.3234408987966631,2025-09-24T11:15:38
25,500,1.2093398648044782,0.4290072564231583,2025-09-24T11:15:55
26,520,1.2093398648044782,0.38613669848305265,2025-09-24T11:16:11
27,540,1.3510805246403943,0.556265100849887,2025-09-24T11:16:24
28,560,1.5322200633479948,0.4966067650313552,2025-09-24T11:16:36
29,580,1.5322200633479948,0.4774514955982089,2025-09-24T11:16:48
30,600,1.5322200633479948,0.52331597908624,2025-09-24T11:17:02
31,620,1.5964739297517236,0.5669747735364512,2025-09-24T11:17:14
32,640,1.5964739297517236,0.4577749501230424,2025-09-24T11:17:26
33,660,1.5964739297517236,0.6246686006000302,2025-09-24T11:17:38
34,680,1.7780387772933446,0.7120763287155778,2025-09-24T11:17:51
35,700,1.8070998975551862,0.8039074756320395,2025-09-24T11:18:04
36,720,1.8070998975551862,0.7976191522815212,2025-09-24T11:18:16
37,740,1.853052017944048,0.9204249567926436,2025-09-24T11:18:28
38,760,1.853052017944048,0.7295948807096946,2025-09-24T11:18:40
39,780,1.853052017944048,0.7283139430538124,2025-09-24T11:18:53
40,800,1.853052017944048,0.6539038399763049,2025-09-24T11:19:05
